   pc   mr     e        isp
350.0  4.0 100.0 382.241568
350.0  5.0  10.0 300.873717
350.0  5.0  20.0 324.261997
350.0  5.0  30.0 341.186084
350.0  5.0  40.0 339.025090
350.0  5.0  50.0 358.289451
350.0  5.0  60.0 336.608760
350.0  5.0  70.0 360.302966
350.0  5.0  80.0 368.555795
350.0  5.0  90.0 361.481947
350.0  5.0 100.0 371.157536
350.0  6.0  10.0 304.273071
350.0  6.0  20.0 323.143262
350.0  6.0  30.0 311.098989
350.0  6.0  40.0 325.221098
350.0  6.0  50.0 329.918905
350.0  6.0  60.0 332.773274
350.0  6.0  70.0 347.075430
350.0  6.0  80.0 341.990928
350.0  6.0  90.0 332.622175
350.0  6.0 100.0 342.036594
350.0  7.0  10.0 297.012862
350.0  7.0  20.0 287.325116
350.0  7.0  30.0 309.376579
350.0  7.0  40.0 314.877806
350.0  7.0  50.0 319.110759
350.0  7.0  60.0 325.597029
350.0  7.0  70.0 308.596611
350.0  7.0  80.0 331.256482
350.0  7.0  90.0 331.667613
350.0  7.0 100.0 316.888393
350.0  8.0  10.0 275.727991
350.0  8.0  20.0 299.678386
350.0  8.0  30.0 292.000300
350.0  8.0  40.0 309.017031
350.0  8.0  50.0 285.892707
350.0  8.0  60.0 306.099072
350.0  8.0  70.0 312.869202
350.0  8.0  80.0 294.335849
350.0  8.0  90.0 309.580311
350.0  8.0 100.0 308.655851
350.0  9.0  10.0 272.314840
350.0  9.0  20.0 259.155877
350.0  9.0  30.0 287.901449
350.0  9.0  40.0 284.538839
350.0  9.0  50.0 298.135789
350.0  9.0  60.0 282.123382
350.0  9.0  70.0 303.715386
350.0  9.0  80.0 281.032199
350.0  9.0  90.0 300.147799
350.0  9.0 100.0 303.110627
350.0 10.0  10.0 239.733231
350.0 10.0  20.0 253.674948
350.0 10.0  30.0 280.958381
350.0 10.0  40.0 267.292384
350.0 10.0  50.0 288.666682
350.0 10.0  60.0 278.480017
350.0 10.0  70.0 287.929820
350.0 10.0  80.0 276.127109
350.0 10.0  90.0 266.140004
350.0 10.0 100.0 271.013061
400.0  1.0  10.0 237.320575
400.0  1.0  20.0 255.844358
400.0  1.0  30.0 281.817180
400.0  1.0  40.0 270.409476
400.0  1.0  50.0 282.787630
400.0  1.0  60.0 267.436580
400.0  1.0  70.0 266.602352
400.0  1.0  80.0 291.426097
400.0  1.0  90.0 280.995931
400.0  1.0 100.0 295.370357
400.0  2.0  10.0 296.682766
400.0  2.0  20.0 329.815716
400.0  2.0  30.0 330.875060
400.0  2.0  40.0 335.845150
400.0  2.0  50.0 322.768583
400.0  2.0  60.0 328.066876
400.0  2.0  70.0 323.951494
400.0  2.0  80.0 352.543170
400.0  2.0  90.0 339.917357
400.0  2.0 100.0 353.125803
400.0  3.0  10.0 334.902764
400.0  3.0  20.0 353.216882
400.0  3.0  30.0 345.239326
400.0  3.0  40.0 352.368360
400.0  3.0  50.0 359.060820
400.0  3.0  60.0 363.907720
400.0  3.0  70.0 364.203314
400.0  3.0  80.0 385.113866
400.0  3.0  90.0 388.741834
400.0  3.0 100.0 375.154500
400.0  4.0  10.0 327.737289
400.0  4.0  20.0 337.349624
400.0  4.0  30.0 350.024397
400.0  4.0  40.0 345.428704
400.0  4.0  50.0 352.156701
400.0  4.0  60.0 370.873900
400.0  4.0  70.0 365.919069
400.0  4.0  80.0 387.487139
400.0  4.0  90.0 363.700105
400.0  4.0 100.0 378.639162
400.0  5.0  10.0 312.243693
400.0  5.0  20.0 316.613996
400.0  5.0  30.0 321.521876
400.0  5.0  40.0 330.346859
400.0  5.0  50.0 335.599054
400.0  5.0  60.0 334.907742
400.0  5.0  70.0 360.592614
400.0  5.0  80.0 338.837182
400.0  5.0  90.0 350.755972
400.0  5.0 100.0 367.424959
400.0  6.0  10.0 297.555321
400.0  6.0  20.0 298.391104
400.0  6.0  30.0 321.324365
400.0  6.0  40.0 332.431050
400.0  6.0  50.0 324.116412
400.0  6.0  60.0 335.961236
400.0  6.0  70.0 344.255612
400.0  6.0  80.0 326.164600
400.0  6.0  90.0 329.790283
400.0  6.0 100.0 342.199867
400.0  7.0  10.0 279.210836
400.0  7.0  20.0 285.488722
400.0  7.0  30.0 289.521788
400.0  7.0  40.0 305.011130
400.0  7.0  50.0 303.235542
400.0  7.0  60.0 318.715253
400.0  7.0  70.0 311.709570
400.0  7.0  80.0 325.365076
400.0  7.0  90.0 329.772480
400.0  7.0 100.0 332.990059
400.0  8.0  10.0 269.860149
400.0  8.0  20.0 273.784363
400.0  8.0  30.0 304.093496
400.0  8.0  40.0 285.102188
400.0  8.0  50.0 289.972151
400.0  8.0  60.0 303.174136
400.0  8.0  70.0 286.940776
400.0  8.0  80.0 289.404536
400.0  8.0  90.0 304.646553
400.0  8.0 100.0 303.719978
400.0  9.0  10.0 266.401104
400.0  9.0  20.0 263.224065
400.0  9.0  30.0 293.961109
400.0  9.0  40.0 269.593177
400.0  9.0  50.0 296.186354
400.0  9.0  60.0 289.171070
400.0  9.0  70.0 293.760774
400.0  9.0  80.0 305.075685
400.0  9.0  90.0 292.189674
400.0  9.0 100.0 283.151111
400.0 10.0  10.0 265.788632
400.0 10.0  20.0 252.718382
400.0 10.0  30.0 266.996233
400.0 10.0  40.0 271.326760
400.0 10.0  50.0 271.698597
400.0 10.0  60.0 277.510058
400.0 10.0  70.0 265.958363
400.0 10.0  80.0 268.154414
400.0 10.0  90.0 273.166262
400.0 10.0 100.0 274.038415
450.0  1.0  10.0 245.677333
450.0  1.0  20.0 256.204514
450.0  1.0  30.0 258.178241
450.0  1.0  40.0 266.770838
450.0  1.0  50.0 290.149065
450.0  1.0  60.0 285.797983
450.0  1.0  70.0 267.963667
450.0  1.0  80.0 294.787294
450.0  1.0  90.0 300.356991
450.0  1.0 100.0 273.731270
450.0  2.0  10.0 306.688293
450.0  2.0  20.0 315.827252
450.0  2.0  30.0 314.898938
450.0  2.0  40.0 334.880009
