   pc  mr     e        isp
250.0 5.0  80.0 352.825121
250.0 5.0  90.0 354.769955
250.0 5.0 100.0 356.462377
300.0 0.5  10.0 214.955191
300.0 0.5  20.0 226.333696
300.0 0.5  30.0 232.160623
300.0 0.5  40.0 235.985890
300.0 0.5  50.0 238.794505
300.0 0.5  60.0 240.994108
300.0 0.5  70.0 242.790869
300.0 0.5  80.0 244.302816
300.0 0.5  90.0 245.603505
300.0 0.5 100.0 246.741714
300.0 1.0  10.0 247.445489
300.0 1.0  20.0 260.961084
300.0 1.0  30.0 267.931737
300.0 1.0  40.0 272.523318
300.0 1.0  50.0 275.901302
300.0 1.0  60.0 278.550333
300.0 1.0  70.0 280.716316
300.0 1.0  80.0 282.540346
300.0 1.0  90.0 284.110507
300.0 1.0 100.0 285.485286
300.0 1.5  10.0 271.111538
300.0 1.5  20.0 284.384607
300.0 1.5  30.0 291.326409
300.0 1.5  40.0 295.939124
300.0 1.5  50.0 299.354583
300.0 1.5  60.0 302.046643
300.0 1.5  70.0 304.256992
300.0 1.5  80.0 306.124911
300.0 1.5  90.0 307.737675
300.0 1.5 100.0 309.153431
300.0 2.0  10.0 306.668457
300.0 2.0  20.0 318.791263
300.0 2.0  30.0 324.824242
300.0 2.0  40.0 328.768922
300.0 2.0  50.0 331.671599
300.0 2.0  60.0 333.953030
300.0 2.0  70.0 335.823691
300.0 2.0  80.0 337.403582
300.0 2.0  90.0 338.767685
300.0 2.0 100.0 339.967463
300.0 2.5  10.0 327.130400
300.0 2.5  20.0 341.185569
300.0 2.5  30.0 348.053789
300.0 2.5  40.0 352.437955
300.0 2.5  50.0 355.595380
300.0 2.5  60.0 358.032114
300.0 2.5  70.0 359.999491
300.0 2.5  80.0 361.639194
300.0 2.5  90.0 363.038406
300.0 2.5 100.0 364.254320
300.0 3.0  10.0 334.397318
300.0 3.0  20.0 350.807962
300.0 3.0  30.0 358.877381
300.0 3.0  40.0 364.035741
300.0 3.0  50.0 367.748902
300.0 3.0  60.0 370.611510
300.0 3.0  70.0 372.919602
300.0 3.0  80.0 374.840436
300.0 3.0  90.0 376.477080
300.0 3.0 100.0 377.897207
300.0 3.5  10.0 331.404928
300.0 3.5  20.0 349.965110
300.0 3.5  30.0 359.411665
300.0 3.5  40.0 365.539343
300.0 3.5  50.0 369.982774
300.0 3.5  60.0 373.422903
300.0 3.5  70.0 376.204133
300.0 3.5  80.0 378.522979
300.0 3.5  90.0 380.501337
300.0 3.5 100.0 382.219617
300.0 4.0  10.0 323.796753
300.0 4.0  20.0 342.416150
300.0 4.0  30.0 352.101817
300.0 4.0  40.0 358.516777
300.0 4.0  50.0 363.254728
300.0 4.0  60.0 366.981181
300.0 4.0  70.0 370.034984
300.0 4.0  80.0 372.611150
300.0 4.0  90.0 374.831746
300.0 4.0 100.0 376.778025
300.0 4.5  10.0 315.891632
300.0 4.5  20.0 333.961079
300.0 4.5  30.0 343.322556
300.0 4.5  40.0 349.498657
300.0 4.5  50.0 354.042693
300.0 4.5  60.0 357.603049
300.0 4.5  70.0 360.509758
300.0 4.5  80.0 362.952725
300.0 4.5  90.0 365.050807
300.0 4.5 100.0 366.883112
300.0 5.0  10.0 308.442522
300.0 5.0  20.0 325.850690
300.0 5.0  30.0 334.792962
300.0 5.0  40.0 340.647837
300.0 5.0  50.0 344.926063
300.0 5.0  60.0 348.257545
300.0 5.0  70.0 350.962503
300.0 5.0  80.0 353.224885
300.0 5.0  90.0 355.159578
300.0 5.0 100.0 356.842849
350.0 0.5  10.0 215.301622
350.0 0.5  20.0 226.689363
350.0 0.5  30.0 232.519041
350.0 0.5  40.0 236.345181
350.0 0.5  50.0 239.153887
350.0 0.5  60.0 241.353195
350.0 0.5  70.0 243.149454
350.0 0.5  80.0 244.660781
350.0 0.5  90.0 245.960780
350.0 0.5 100.0 247.098260
350.0 1.0  10.0 247.915001
350.0 1.0  20.0 261.434966
350.0 1.0  30.0 268.406775
350.0 1.0  40.0 272.998735
350.0 1.0  50.0 276.376809
350.0 1.0  60.0 279.025797
350.0 1.0  70.0 281.191667
350.0 1.0  80.0 283.015546
350.0 1.0  90.0 284.585533
350.0 1.0 100.0 285.960124
350.0 1.5  10.0 271.410802
350.0 1.5  20.0 284.716900
350.0 1.5  30.0 291.672505
350.0 1.5  40.0 296.293143
350.0 1.5  50.0 299.713843
350.0 1.5  60.0 302.409665
350.0 1.5  70.0 304.622863
350.0 1.5  80.0 306.493023
350.0 1.5  90.0 308.107601
350.0 1.5 100.0 309.524857
350.0 2.0  10.0 306.676287
350.0 2.0  20.0 318.803792
350.0 2.0  30.0 324.850214
350.0 2.0  40.0 328.808246
350.0 2.0  50.0 331.721933
350.0 2.0  60.0 334.012343
350.0 2.0  70.0 335.890451
350.0 2.0  80.0 337.476638
350.0 2.0  90.0 338.846139
350.0 2.0 100.0 340.050567
350.0 2.5  10.0 327.213807
350.0 2.5  20.0 341.251625
350.0 2.5  30.0 348.112030
350.0 2.5  40.0 352.491452
350.0 2.5  50.0 355.645582
350.0 2.5  60.0 358.079847
350.0 2.5  70.0 360.045277
350.0 2.5  80.0 361.683391
350.0 2.5  90.0 363.081273
350.0 2.5 100.0 364.296051
350.0 3.0  10.0 334.671815
350.0 3.0  20.0 351.030121
350.0 3.0  30.0 359.074023
350.0 3.0  40.0 364.216447
350.0 3.0  50.0 367.918359
350.0 3.0  60.0 370.772431
350.0 3.0  70.0 373.073731
350.0 3.0  80.0 374.988977
350.0 3.0  90.0 376.620906
350.0 3.0 100.0 378.036978
350.0 3.5  10.0 331.883760
350.0 3.5  20.0 350.410880
350.0 3.5  30.0 359.826382
350.0 3.5  40.0 365.928568
350.0 3.5  50.0 370.351588
350.0 3.5  60.0 373.775188
350.0 3.5  70.0 376.542764
350.0 3.5  80.0 378.850105
350.0 3.5  90.0 380.818598
350.0 3.5 100.0 382.528293
350.0 4.0  10.0 324.302052
350.0 4.0  20.0 342.917860
350.0 4.0  30.0 352.597817
350.0 4.0  40.0 359.007168
350.0 4.0  50.0 363.739867
350.0 4.0  60.0 367.461432
350.0 4.0  70.0 370.511001
350.0 4.0  80.0 373.082554
350.0 4.0  90.0 375.299113
350.0 4.0 100.0 377.241568
350.0 4.5  10.0 316.366421
350.0 4.5  20.0 334.426366
350.0 4.5  30.0 343.777258
350.0 4.5  40.0 349.943379
350.0 4.5  50.0 354.478136
350.0 4.5  60.0 358.029850
350.0 4.5  70.0 360.928484
350.0 4.5  80.0 363.363882
350.0 4.5  90.0 365.454852
350.0 4.5 100.0 367.280463
350.0 5.0  10.0 308.873717
350.0 5.0  20.0 326.261997
350.0 5.0  30.0 335.186084
350.0 5.0  40.0 341.025090
350.0 5.0  50.0 345.289451
350.0 5.0  60.0 348.608760
350.0 5.0  70.0 351.302966
350.0 5.0  80.0 353.555795
350.0 5.0  90.0 355.481947
350.0 5.0 100.0 357.157536
400.0 0.5  10.0 215.597902
400.0 0.5  20.0 226.993594
400.0 0.5  30.0 232.825620
400.0 0.5  40.0 236.652483
400.0 0.5  50.0 239.461237
400.0 0.5  60.0 241.660263
400.0 0.5  70.0 243.456060
400.0 0.5  80.0 244.966822
400.0 0.5  90.0 246.266198
400.0 0.5 100.0 247.403022
400.0 1.0  10.0 248.320575
400.0 1.0  20.0 261.844358
400.0 1.0  30.0 268.817180
400.0 1.0  40.0 273.409476
400.0 1.0  50.0 276.787630
400.0 1.0  60.0 279.436580
400.0 1.0  70.0 281.602352
400.0 1.0  80.0 283.426097
400.0 1.0  90.0 284.995931
400.0 1.0 100.0 286.370357
400.0 1.5  10.0 271.680460
400.0 1.5  20.0 285.014050
400.0 1.5  30.0 291.981059
400.0 1.5  40.0 296.608203
400.0 1.5  50.0 300.033182
400.0 1.5  60.0 302.732061
400.0 1.5  70.0 304.947562
400.0 1.5  80.0 306.819526
400.0 1.5  90.0 308.435556
400.0 1.5 100.0 309.854009
400.0 2.0  10.0 306.682766
400.0 2.0  20.0 318.815716
400.0 2.0  30.0 324.875060
400.0 2.0  40.0 328.845150
400.0 2.0  50.0 331.768583
400.0 2.0  60.0 334.066876
400.0 2.0  70.0 335.951494
400.0 2.0  80.0 337.543170
400.0 2.0  90.0 338.917357
400.0 2.0 100.0 340.125803
400.0 2.5  10.0 327.282727
400.0 2.5  20.0 341.306214
400.0 2.5  30.0 348.160165
400.0 2.5  40.0 352.535666
400.0 2.5  50.0 355.687075
400.0 2.5  60.0 358.119301
400.0 2.5  70.0 360.083124
400.0 2.5  80.0 361.719928
400.0 2.5  90.0 363.116712
400.0 2.5 100.0 364.330556
400.0 3.0  10.0 334.902764
400.0 3.0  20.0 351.216882
400.0 3.0  30.0 359.239326
400.0 3.0  40.0 364.368360
400.0 3.0  50.0 368.060820
400.0 3.0  60.0 370.907720
400.0 3.0  70.0 373.203314
400.0 3.0  80.0 375.113866
400.0 3.0  90.0 376.741834
400.0 3.0 100.0 378.154500
400.0 3.5  10.0 332.294099
400.0 3.5  20.0 350.791026
400.0 3.5  30.0 360.178964
400.0 3.5  40.0 366.258408
400.0 3.5  50.0 370.664422
400.0 3.5  60.0 374.073885
400.0 3.5  70.0 376.829822
400.0 3.5  80.0 379.127377
400.0 3.5  90.0 381.087490
400.0 3.5 100.0 382.789897
400.0 4.0  10.0 324.737289
400.0 4.0  20.0 343.349624
400.0 4.0  30.0 353.024397
400.0 4.0  40.0 359.428704
400.0 4.0  50.0 364.156701
400.0 4.0  60.0 367.873900
400.0 4.0  70.0 370.919069
400.0 4.0  80.0 373.487139
400.0 4.0  90.0 375.700105
400.0 4.0 100.0 377.639162
400.0 4.5  10.0 316.774849
400.0 4.5  20.0 334.825994
400.0 4.5  30.0 344.167310
400.0 4.5  40.0 350.324461
400.0 4.5  50.0 354.850910
